logged_at,pair,direction,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,pnl,running_trades,running_win_rate_pct,running_pf,running_net_pnl_pct
2026-08-19T00:14:07.696979+00:00,XAUUSD_DERIV,short,2026-07-23T01:00:00+00:00,4117.84000,4149.90894,4077.75382,2026-07-23T11:00:00+00:00,4077.80382,TP,97.23,1,100.00,undef,0.97
2026-08-19T00:14:07.697340+00:00,XAUUSD_DERIV,short,2026-07-28T16:00:00+00:00,4037.42000,4064.96491,4002.98886,2026-07-29T13:00:00+00:00,4003.03886,TP,85.16,2,100.00,undef,1.82
2026-08-19T00:14:07.702868+00:00,XAUUSD_DERIV,short,2026-07-30T04:00:00+00:00,4045.86000,4089.60649,3991.17689,2026-07-30T13:00:00+00:00,4089.65649,SL,-108.25,3,66.67,1.685,0.74
2026-08-19T00:14:07.703179+00:00,XAUUSD_DERIV,short,2026-07-31T01:00:00+00:00,4084.26000,4121.32794,4037.92507,2026-07-31T13:00:00+00:00,4037.97507,TP,113.33,4,75.00,2.732,1.87
2026-08-19T00:14:07.703438+00:00,XAUUSD_DERIV,long,2026-08-06T11:00:00+00:00,4263.73000,4225.52688,4311.48390,2026-08-06T16:00:00+00:00,4225.47688,SL,-89.72,5,60.00,1.494,0.98
2026-08-19T00:14:07.703690+00:00,XAUUSD_DERIV,long,2026-08-12T15:00:00+00:00,4421.50000,4383.62641,4468.84199,2026-08-13T05:00:00+00:00,4383.57641,SL,-85.77,6,50.00,1.042,0.12
2026-08-19T10:16:09.367802+00:00,XAUUSD_DERIV,short,2026-07-23T05:00:00+00:00,4123.99000,4153.57035,4087.01456,2026-07-23T10:00:00+00:00,4087.06456,TP,89.54,7,57.14,1.358,1.02
